batch_size,learning_rate_gen,learning_rate_disc,fid_score,loss_discriminator,loss_generator
16.0,0.1,0.001,1778.408447265625,0.7100000762939453,0.2688809013366699
256.0,0.005,0.0005,2644.5400390625,1.0,0.0
64.0,0.0001,0.05,1542.8717041015625,1.0,0.0
64.0,0.01,0.005,1990.1796875,1.0,0.0
64.0,0.05,0.005,2448.180419921875,1.0,0.0
64.0,0.0001,0.0001,1415.30029296875,0.007205655574798584,0.013701066970825196
256.0,0.0005,0.005,1400.6470947265625,0.7448040771484375,0.05932593822479248
32.0,0.01,0.01,2457.536376953125,1.0,0.0
256.0,0.1,0.001,2619.4912109375,1.0,0.0
256.0,0.01,0.0001,1777.1800537109375,0.8033296966552734,0.0004855784773826599
